Date, Open, High, Low, Close
09/09/20,34292.35,34767.69,34211.32,34527.94
09/08/20,34136.23,34352.77,33829.93,33848.56
09/04/20,35172.27,35391.62,34020.27,34848.03
09/03/20,36185.72,36228.02,34875.05,35138.18
09/02/20,36129.07,36498.93,35957.25,36434.12
09/01/20,35716.47,35948.26,35599.44,35940.29
08/31/20,35725.35,35808.39,35574.14,35661.56
08/28/20,35624.49,35730.45,35495.57,35720.40
08/27/20,35489.29,35650.94,35303.94,35479.64
08/26/20,35152.86,35434.17,35093.19,35403.50
08/25/20,35021.24,35081.68,34881.85,35078.17
08/24/20,34904.45,34964.06,34768.75,34957.74
08/21/20,34542.19,34655.55,34483.50,34626.02
08/20/20,34240.45,34599.85,34221.54,34543.22
08/19/20,34622.45,34697.41,34394.25,34444.28
08/18/20,34622.47,34660.78,34405.56,34593.10
08/17/20,34523.52,34583.75,34491.54,34548.01
08/14/20,34360.25,34475.60,34303.14,34408.67
08/13/20,34393.79,34572.29,34319.28,34422.43
08/12/20,34301.58,34535.93,34301.58,34467.13
08/11/20,34430.66,34504.93,33937.65,34007.95
08/10/20,34260.05,34311.87,34040.24,34277.41
08/07/20,34061.27,34207.72,33947.14,34194.10
08/06/20,33932.38,34179.81,33876.27,34158.02
08/05/20,33899.38,34007.59,33886.37,33987.45
08/04/20,33563.07,33735.54,33527.70,33734.57
08/03/20,33523.29,33684.06,33456.29,33609.09
07/31/20,33355.16,33355.16,32810.15,33323.80
07/30/20,32912.31,33195.00,32707.97,33141.90
07/29/20,32947.48,33317.35,32945.96,33257.02
07/28/20,32968.28,33074.82,32784.97,32804.16
07/27/20,32815.45,33056.32,32750.86,33040.36
07/24/20,32772.04,32908.64,32611.64,32761.21
07/23/20,33360.84,33464.22,32848.51,33005.55
07/22/20,33170.97,33416.32,33164.11,33387.86
07/21/20,33340.53,33414.27,33107.77,33200.90
07/20/20,32862.11,33193.68,32772.31,33132.24
07/17/20,32847.28,32942.20,32654.96,32859.69
07/16/20,32638.44,32794.82,32575.08,32747.20
07/15/20,32867.11,32958.84,32572.16,32874.73
07/14/20,31909.68,32517.06,31779.79,32491.40
07/13/20,32683.17,32936.34,32005.22,32051.64
07/10/20,32065.50,32423.38,31902.58,32408.34
07/09/20,32337.15,32361.53,31678.43,32058.03
07/08/20,32104.59,32285.20,31906.95,32262.10
07/07/20,32183.59,32410.05,31974.88,31995.87
07/06/20,32307.43,32426.91,32210.79,32357.45
